"uso_internet","sexo","edad","estudios"
"0","Mujer","66","Primaria"
"1","Hombre","72","Primaria"
"1","Hombre","48","U. Preg"
"0","Hombre","59","Maestría"
"1","Mujer","44","Maestría"
"1","Mujer","34","Maestría"
"1","Mujer","49","Maestría"
"1","Hombre","43","U. Preg"
"1","Hombre","23","Primaria"
"1","Hombre","29","Form. Prof"
"0","Mujer","73","Primaria"
"0","Mujer","42","Primaria"
"1","Mujer","26","Primaria"
"0","Mujer","48","Primaria"
"0","Hombre","79","Sin estudios"
"1","Hombre","38","Primaria"
"0","Mujer","61","Primaria"
"1","Hombre","34","Form. Prof"
"1","Mujer","40","Primaria"
"1","Mujer","19","Primaria"
"1","Mujer","30","Secundaria"
"0","Mujer","84","Primaria"
"0","Hombre","51","Primaria"
"1","Hombre","62","Maestría"
"0","Hombre","37","Primaria"
"0","Mujer","67","Primaria"
"1","Mujer","24","Form. Prof"
"0","Hombre","52","Primaria"
"0","Hombre","70","Sin estudios"
"1","Hombre","25","Primaria"
"0","Mujer","27","Primaria"
"1","Mujer","43","Maestría"
"1","Hombre","24","U. Preg"
"0","Mujer","65","Sin estudios"
"0","Mujer","63","Primaria"
"0","Mujer","32","Form. Prof"
"1","Hombre","22","Secundaria"
"0","Hombre","61","Primaria"
"1","Hombre","49","Secundaria"
"0","Mujer","54","Primaria"
"1","Hombre","31","Primaria"
"0","Mujer","42","Primaria"
"1","Hombre","22","U. Preg"
"0","Mujer","65","Primaria"
"0","Mujer","43","Primaria"
"1","Hombre","64","U. Preg"
"0","Mujer","29","Primaria"
"1","Hombre","26","Primaria"
"1","Mujer","29","Maestría"
"0","Hombre","54","Secundaria"
"0","Mujer","90","Primaria"
"0","Hombre","79","Sin estudios"
"0","Hombre","38","Primaria"
"0","Hombre","65","Primaria"
"0","Mujer","61","Primaria"
"0","Mujer","53","Secundaria"
"1","Hombre","39","Primaria"
"0","Mujer","74","Primaria"
"1","Mujer","29","Secundaria"
"0","Mujer","49","Primaria"
"0","Hombre","54","Primaria"
"0","Hombre","64","Primaria"
"0","Hombre","29","Primaria"
"1","Hombre","19","Form. Prof"
"0","Mujer","44","Primaria"
