"ID","uso_internet","sexo","edad","estudios"
"156",1,"Mujer",18,"Primaria"
"157",0,"Mujer",37,"Primaria"
"158",0,"Mujer",25,"Secundaria"
"159",0,"Hombre",39,"Secundaria"
"160",1,"Hombre",59,"Primaria"
"161",0,"Mujer",65,"Primaria"
"162",1,"Hombre",21,"Primaria"
"163",1,"Hombre",32,"Primaria"
"164",0,"Hombre",80,"Primaria"
"165",0,"Hombre",80,"Primaria"
"166",0,"Hombre",83,"Sin estudios"
"167",0,"Mujer",74,"Primaria"
"168",0,"Hombre",35,"Form Profesional"
"169",1,"Mujer",43,"Form Profesional"
"170",0,"Mujer",33,"Primaria"
"171",0,"Mujer",62,"Primaria"
"172",1,"Mujer",48,"Secundaria"
"173",1,"Hombre",41,"Primaria"
"174",1,"Mujer",29,"Secundaria"
"175",1,"Hombre",45,"Primaria"
"176",0,"Mujer",76,"Universitarios"
"177",0,"Hombre",54,"Primaria"
"178",0,"Mujer",76,"Primaria"
"179",1,"Hombre",20,"Secundaria"
"180",1,"Hombre",42,"Universitarios"
"181",1,"Hombre",25,"Form Profesional"
"182",0,"Hombre",57,"Primaria"
"183",0,"Mujer",70,"Primaria"
"184",0,"Mujer",33,"Primaria"
"185",1,"Mujer",44,"Maestría"
"186",0,"Mujer",56,"Universitarios"
"187",1,"Hombre",53,"Form Profesional"
"188",1,"Hombre",65,"Secundaria"
"189",1,"Mujer",29,"Universitarios"
"190",1,"Hombre",44,"Form Profesional"
"191",0,"Mujer",55,"Secundaria"
"192",1,"Mujer",54,"Universitarios"
"193",1,"Mujer",43,"Maestría"
"194",0,"Hombre",62,"Primaria"
"195",0,"Mujer",67,"Primaria"
"196",1,"Hombre",19,"Primaria"
"197",0,"Mujer",74,"Primaria"
"198",0,"Mujer",27,"Secundaria"
"199",0,"Hombre",34,"Primaria"
"200",0,"Hombre",54,"Primaria"
"201",0,"Hombre",75,"Primaria"
"202",0,"Hombre",28,"Primaria"
"203",1,"Hombre",46,"Primaria"
"204",1,"Hombre",18,"Primaria"
"205",0,"Mujer",74,"Sin estudios"
"206",1,"Mujer",35,"Secundaria"
"207",0,"Mujer",23,"Secundaria"
"208",0,"Hombre",25,"Form Profesional"
"209",1,"Mujer",18,"Primaria"
"210",1,"Hombre",56,"Primaria"
"211",0,"Mujer",33,"Secundaria"
"212",0,"Mujer",43,"Primaria"
"213",0,"Hombre",74,"Secundaria"
"214",1,"Mujer",69,"Primaria"
"215",0,"Mujer",58,"Primaria"
"216",0,"Hombre",48,"Primaria"
"217",0,"Hombre",74,"Sin estudios"
"218",1,"Mujer",39,"Form Profesional"
"219",0,"Hombre",44,"Primaria"
"220",0,"Mujer",53,"Sin estudios"
"221",1,"Mujer",19,"Primaria"
"222",1,"Hombre",44,"Universitarios"
"223",0,"Mujer",54,"Primaria"
"224",1,"Mujer",38,"Universitarios"
"225",0,"Mujer",85,"Primaria"
"226",1,"Mujer",31,"Universitarios"
"227",0,"Hombre",71,"Primaria"
"228",1,"Hombre",42,"Maestría"
"229",0,"Mujer",57,"Sin estudios"
"230",1,"Hombre",51,"Universitarios"
"231",1,"Hombre",64,"Primaria"
"232",1,"Hombre",31,"Form Profesional"
"233",0,"Mujer",66,"Sin estudios"
"234",0,"Mujer",31,"Primaria"
"235",0,"Hombre",81,"Sin estudios"
"236",0,"Mujer",47,"Primaria"
"237",0,"Mujer",19,"Primaria"
"238",1,"Hombre",24,"Primaria"
"239",1,"Hombre",48,"Primaria"
"240",1,"Hombre",25,"Primaria"
"241",0,"Hombre",50,"Primaria"
"242",0,"Mujer",38,"Primaria"
"243",1,"Mujer",21,"Universitarios"
"244",1,"Mujer",34,"Secundaria"
"245",0,"Mujer",65,"Secundaria"
"247",0,"Hombre",35,"Primaria"
"248",1,"Hombre",37,"Primaria"
"249",1,"Mujer",64,"Primaria"
"250",1,"Hombre",47,"Universitarios"
"251",1,"Mujer",19,"Primaria"
"252",1,"Hombre",38,"Form Profesional"
"253",1,"Hombre",28,"Form Profesional"
"254",1,"Mujer",33,"Form Profesional"
"255",0,"Mujer",75,"Primaria"
"256",1,"Hombre",73,"Secundaria"
"257",1,"Mujer",41,"Universitarios"
"258",1,"Hombre",54,"Primaria"
"259",1,"Hombre",23,"Primaria"
"260",1,"Hombre",32,"Universitarios"
"261",0,"Hombre",60,"Primaria"
"262",0,"Mujer",58,"Maestría"
"263",1,"Mujer",47,"Universitarios"
